seq,robot_id,source_timestamp_ns,adapter_receive_time_ns,adapter_publish_time_ns,adapter_publish_monotonic_ns,source_to_receive_ms,receive_to_publish_ms,publish_period_ms,x,y,z,yaw_rad,v_linear_x,v_linear_y,v_linear_z,v_angular_x,v_angular_y,v_angular_z
25,go2_001,5070005000000,1776851883334380645,1776851883338075018,29995585477474,1776846813329.381,3.694,49.976,0.681733,-1.027570,0.000000,-2.139881,-0.031330,0.012291,0.000000,0.000000,0.000000,-0.145849
26,go2_001,5070045000000,1776851883376066732,1776851883388129630,29995635532405,1776846813331.067,12.063,50.055,0.681275,-1.027438,0.000000,-2.140105,-0.028333,0.009922,0.000000,0.000000,0.000000,-0.055088
27,go2_001,5070085000000,1776851883408731390,1776851883438866819,29995686269910,1776846813323.731,30.135,50.737,0.678598,-1.025825,0.000000,-2.150258,-0.026104,0.001520,0.000000,0.000000,0.000000,-0.242002
28,go2_001,5070145000000,1776851883470896010,1776851883488278764,29995735681427,1776846813325.896,17.383,49.412,0.677809,-1.024726,0.000000,-2.173928,-0.023713,-0.001701,0.000000,0.000000,0.000000,-0.372786
29,go2_001,5070200000000,1776851883533521510,1776851883538248754,29995785652035,1776846813333.521,4.727,49.970,0.677822,-1.024934,0.000000,-2.216464,-0.020167,-0.001569,0.000000,0.000000,0.000000,-0.728285
30,go2_001,5070240000000,1776851883575139162,1776851883588174415,29995835578154,1776846813335.139,13.035,49.926,0.678636,-1.023867,0.000000,-2.263468,-0.021314,-0.001415,0.000000,0.000000,0.000000,-1.084358
31,go2_001,5070305000000,1776851883637247094,1776851883638081873,29995885484337,1776846813332.247,0.835,49.907,0.679442,-1.023582,0.000000,-2.313083,-0.019486,-0.000658,0.000000,0.000000,0.000000,-0.675681
32,go2_001,5070340000000,1776851883668559779,1776851883688199620,29995935602063,1776846813328.560,19.640,50.118,0.678391,-1.021656,0.000000,-2.326962,-0.020009,-0.005457,0.000000,0.000000,0.000000,-0.495222
33,go2_001,5070380000000,1776851883720969530,1776851883737990722,29995985393198,1776846813340.969,17.021,49.791,0.677909,-1.020114,0.000000,-2.346036,-0.020133,-0.008327,0.000000,0.000000,0.000000,-0.372073
34,go2_001,5070435000000,1776851883773145157,1776851883787988245,29996035390891,1776846813338.145,14.843,49.998,0.678006,-1.020309,0.000000,-2.365599,-0.017057,-0.007395,0.000000,0.000000,0.000000,-0.397422
