10:46:23,500 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:23,551 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:23,600 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:23,650 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:23,700 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:23,752 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:23,801 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:23,850 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:23,900 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:23,950 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:24,001 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:24,049 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:24,100 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:24,150 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:24,201 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:24,251 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:24,302 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:24,350 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:24,400 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:24,450 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:24,501 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:24,550 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:24,602 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:24,650 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:24,699 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:24,751 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:24,800 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:24,850 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:24,902 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:24,951 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:25,001 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:25,051 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:25,101 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:25,151 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:25,200 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:25,250 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:25,300 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:25,351 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:25,401 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:25,452 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:25,501 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:25,550 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:25,601 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:25,650 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:25,701 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:25,754 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:25,800 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:25,851 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:25,901 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:25,951 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:26,000 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:26,051 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:26,100 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:26,151 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:26,200 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:26,250 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:26,301 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:26,351 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:26,401 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:26,451 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:26,500 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:26,551 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:26,602 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:26,651 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:26,701 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:26,750 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:26,800 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:26,852 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:26,900 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:26,951 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:27,000 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:27,051 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:27,102 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:27,150 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:27,200 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:27,251 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:27,300 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:27,350 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:27,401 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:27,452 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:27,500 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:27,551 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:27,601 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:27,650 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:27,700 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:27,750 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:27,803 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:27,854 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:27,901 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:27,950 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:28,001 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:28,051 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:28,102 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:28,151 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:28,202 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:28,250 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
