seq,robot_id,source_timestamp_ns,adapter_receive_time_ns,adapter_publish_time_ns,adapter_publish_monotonic_ns,source_to_receive_ms,receive_to_publish_ms,publish_period_ms,x,y,z,yaw_rad,v_linear_x,v_linear_y,v_linear_z,v_angular_x,v_angular_y,v_angular_z
0,go2_001,36710000000,1776853825354402306,1776853825384415584,31039055998229,1776853788644.402,30.013,,-0.085745,-0.016806,0.000000,-0.157082,0.076299,-0.011007,0.000000,0.000000,0.000000,0.256004
1,go2_001,36790000000,1776853825431115040,1776853825434350415,31039105932884,1776853788641.115,3.235,49.935,-0.072173,-0.017063,0.000000,-0.172307,0.091842,-0.003085,0.000000,0.000000,0.000000,-0.187919
2,go2_001,36845000000,1776853825483158592,1776853825484516893,31039156099953,1776853788638.159,1.358,50.166,-0.069792,-0.019164,0.000000,-0.172486,0.086245,-0.007091,0.000000,0.000000,0.000000,0.085600
3,go2_001,36890000000,1776853825524448099,1776853825534758646,31039206341602,1776853788634.448,10.311,50.242,-0.069503,-0.019012,0.000000,-0.146460,0.077682,-0.006635,0.000000,0.000000,0.000000,0.534763
4,go2_001,36925000000,1776853825566154560,1776853825584558643,31039256141530,1776853788641.155,18.404,49.800,-0.069960,-0.018666,0.000000,-0.110633,0.069886,-0.006161,0.000000,0.000000,0.000000,0.883644
5,go2_001,36985000000,1776853825628361766,1776853825634508187,31039306090789,1776853788643.362,6.146,49.950,-0.066432,-0.017518,0.000000,-0.050631,0.067424,-0.002338,0.000000,0.000000,0.000000,1.053502
6,go2_001,37025000000,1776853825670764370,1776853825684654691,31039356237663,1776853788645.764,13.890,50.147,-0.058143,-0.020561,0.000000,-0.002710,0.080983,-0.006989,0.000000,0.000000,0.000000,1.014808
7,go2_001,37085000000,1776853825733073438,1776853825734379644,31039405962338,1776853788648.073,1.306,49.725,-0.047558,-0.022189,0.000000,0.033850,0.093784,-0.008434,0.000000,0.000000,0.000000,0.570721
8,go2_001,37120000000,1776853825775334190,1776853825784643952,31039456226440,1776853788655.334,9.310,50.264,-0.048112,-0.021603,0.000000,0.048951,0.084684,-0.007797,0.000000,0.000000,0.000000,0.387990
9,go2_001,37185000000,1776853825826754221,1776853825834442111,31039506024719,1776853788641.754,7.688,49.798,-0.047883,-0.020921,0.000000,0.079043,0.072346,-0.006991,0.000000,0.000000,0.000000,0.535865
10,go2_001,37225000000,1776853825867938823,1776853825884402030,31039555984582,1776853788642.939,16.463,49.960,-0.041396,-0.020674,0.000000,0.095400,0.080365,-0.006132,0.000000,0.000000,0.000000,0.430277
11,go2_001,37265000000,1776853825909398210,1776853825934686977,31039606269424,1776853788644.398,25.289,50.285,-0.038875,-0.018980,0.000000,0.092701,0.078750,-0.002553,0.000000,0.000000,0.000000,-0.043431
12,go2_001,37320000000,1776853825970878320,1776853825984886805,31039656469284,1776853788650.878,14.008,50.200,-0.030357,-0.014092,0.000000,0.078898,0.087900,0.008289,0.000000,0.000000,0.000000,0.007208
13,go2_001,37380000000,1776853826032788037,1776853826034570805,31039706153366,1776853788652.788,1.783,49.684,-0.031257,-0.012843,0.000000,0.101547,0.073936,0.009370,0.000000,0.000000,0.000000,0.450849
14,go2_001,37420000000,1776853826076933401,1776853826084434039,31039756016583,1776853788656.933,7.501,49.863,-0.031443,-0.012666,0.000000,0.135400,0.066423,0.008573,0.000000,0.000000,0.000000,0.812149
15,go2_001,37480000000,1776853826128937738,1776853826134514867,31039806097531,1776853788648.938,5.577,50.081,-0.027874,-0.010294,0.000000,0.218566,0.065805,0.011613,0.000000,0.000000,0.000000,1.332175
16,go2_001,37520000000,1776853826170485983,1776853826184604191,31039856186770,1776853788650.486,14.118,50.089,-0.028543,-0.014756,0.000000,0.257812,0.056898,-0.000429,0.000000,0.000000,0.000000,0.947082
17,go2_001,37575000000,1776853826232856113,1776853826234412133,31039905994506,1776853788657.856,1.556,49.808,-0.009752,-0.010862,0.000000,0.285023,0.093566,0.002093,0.000000,0.000000,0.000000,0.527135
18,go2_001,37615000000,1776853826274533180,1776853826284401001,31039955983563,1776853788659.533,9.868,49.989,-0.010036,-0.010379,0.000000,0.299672,0.084574,0.001872,0.000000,0.000000,0.000000,0.310701
