seq,robot_id,source_timestamp_ns,adapter_receive_time_ns,adapter_publish_time_ns,adapter_publish_monotonic_ns,source_to_receive_ms,receive_to_publish_ms,publish_period_ms,x,y,z,yaw_rad,v_linear_x,v_linear_y,v_linear_z,v_angular_x,v_angular_y,v_angular_z
0,go2_001,51260000000,1776933177735333691,1776933177747339908,481559717879,1776933126475.334,12.006,,-0.084374,0.342020,0.000000,-2.314614,0.082474,0.021760,0.000000,0.000000,0.000000,0.334523
1,go2_001,51295000000,1776933177780232433,1776933177797328468,481609706048,1776933126485.232,17.096,49.989,-0.083826,0.342365,0.000000,-2.286025,0.074495,0.019922,0.000000,0.000000,0.000000,0.706425
2,go2_001,51355000000,1776933177838672326,1776933177847349710,481659727376,1776933126483.672,8.677,50.021,-0.085597,0.337402,0.000000,-2.226324,0.075841,0.022027,0.000000,0.000000,0.000000,1.083631
3,go2_001,51390000000,1776933177880390796,1776933177897299748,481709677279,1776933126490.391,16.909,49.950,-0.089382,0.342231,0.000000,-2.185067,0.068106,0.005485,0.000000,0.000000,0.000000,1.007411
4,go2_001,51475000000,1776933177942124484,1776933177947246041,481759623814,1776933126467.125,5.122,49.946,-0.100146,0.327532,0.000000,-2.145117,0.097115,0.007402,0.000000,0.000000,0.000000,0.516567
5,go2_001,51515000000,1776933177983364073,1776933177997310859,481809688465,1776933126468.364,13.947,50.065,-0.099588,0.327421,0.000000,-2.132390,0.087916,0.006724,0.000000,0.000000,0.000000,0.346256
6,go2_001,51570000000,1776933178044833839,1776933178047355421,481859733187,1776933126474.834,2.522,50.045,-0.098700,0.327649,0.000000,-2.104784,0.075501,0.005806,0.000000,0.000000,0.000000,0.430957
7,go2_001,51615000000,1776933178096492463,1776933178097195314,481909573060,1776933126481.492,0.703,49.840,-0.098471,0.327275,0.000000,-2.094057,0.068033,0.005259,0.000000,0.000000,0.000000,0.254587
8,go2_001,51655000000,1776933178137768259,1776933178147358879,481959736478,1776933126482.768,9.591,50.164,-0.099688,0.325638,0.000000,-2.091008,0.066453,0.004032,0.000000,0.000000,0.000000,0.084660
9,go2_001,51695000000,1776933178179209521,1776933178197303600,482009681083,1776933126484.209,18.094,49.945,-0.106374,0.316857,0.000000,-2.094009,0.085994,0.002012,0.000000,0.000000,0.000000,-0.018676
10,go2_001,51750000000,1776933178240730098,1776933178247327164,482059704697,1776933126490.730,6.597,50.024,-0.110238,0.313155,0.000000,-2.078724,0.087003,-0.001565,0.000000,0.000000,0.000000,0.357014
11,go2_001,51810000000,1776933178282849499,1776933178297339795,482109717297,1776933126472.849,14.490,50.013,-0.109797,0.313181,0.000000,-2.049578,0.074716,-0.001503,0.000000,0.000000,0.000000,0.675460
12,go2_001,51870000000,1776933178344572811,1776933178347294956,482159672406,1776933126474.573,2.722,49.955,-0.111311,0.305723,0.000000,-1.971554,0.081179,0.003362,0.000000,0.000000,0.000000,1.218690
13,go2_001,51915000000,1776933178396977294,1776933178397179682,482209557249,1776933126481.977,0.202,49.885,-0.116969,0.302461,0.000000,-1.901509,0.086131,-0.005806,0.000000,0.000000,0.000000,1.287529
14,go2_001,51955000000,1776933178438589955,1776933178447385108,482259763114,1776933126483.590,8.795,50.205,-0.118262,0.291912,0.000000,-1.870232,0.101526,0.002142,0.000000,0.000000,0.000000,0.830422
