seq,robot_id,source_timestamp_ns,adapter_receive_time_ns,adapter_publish_time_ns,adapter_publish_monotonic_ns,source_to_receive_ms,receive_to_publish_ms,publish_period_ms,x,y,z,yaw_rad,v_linear_x,v_linear_y,v_linear_z,v_angular_x,v_angular_y,v_angular_z
0,go2_001,56280000000,1776854079404096591,1776854079405265981,31293076848582,1776854023124.096,1.169,,-0.044621,0.327943,0.000000,-2.534063,0.000000,0.000000,0.000000,0.000000,0.000000,0.014726
1,go2_001,56320000000,1776854079445353311,1776854079456200968,31293127784066,1776854023125.353,10.848,50.935,-0.044621,0.327943,0.000000,-2.534105,0.000000,0.000000,0.000000,0.000000,0.000000,0.004071
2,go2_001,56360000000,1776854079488324100,1776854079505892092,31293177474902,1776854023128.324,17.568,49.691,-0.044621,0.327943,0.000000,-2.534514,0.000000,0.000000,0.000000,0.000000,0.000000,-0.005149
3,go2_001,56420000000,1776854079550301814,1776854079556076404,31293227659432,1776854023130.302,5.775,50.184,-0.044626,0.327943,0.000000,-2.534727,0.000010,-0.000007,0.000000,0.000000,0.000000,-0.005412
4,go2_001,56460000000,1776854079591933705,1776854079605655463,31293277238342,1776854023131.934,13.722,49.579,-0.044626,0.327943,0.000000,-2.534446,0.000009,-0.000006,0.000000,0.000000,0.000000,0.001962
5,go2_001,56520000000,1776854079644675908,1776854079655809035,31293327391668,1776854023124.676,11.133,50.154,-0.044626,0.327943,0.000000,-2.534876,0.000008,-0.000005,0.000000,0.000000,0.000000,-0.006346
6,go2_001,56555000000,1776854079686887368,1776854079705510737,31293377093735,1776854023131.887,18.623,49.702,-0.044626,0.327943,0.000000,-2.535371,0.000007,-0.000005,0.000000,0.000000,0.000000,-0.011134
7,go2_001,56615000000,1776854079748811203,1776854079755547014,31293427129738,1776854023133.811,6.736,50.036,-0.044626,0.327943,0.000000,-2.534667,0.000007,-0.000004,0.000000,0.000000,0.000000,0.019344
8,go2_001,56660000000,1776854079790845310,1776854079805588667,31293477171242,1776854023130.845,14.743,50.042,-0.044626,0.327943,0.000000,-2.534397,0.000006,-0.000004,0.000000,0.000000,0.000000,0.006731
9,go2_001,56720000000,1776854079852189803,1776854079855373225,31293526955876,1776854023132.190,3.183,49.785,-0.044626,0.327943,0.000000,-2.534341,0.000005,-0.000004,0.000000,0.000000,0.000000,-0.008367
10,go2_001,56755000000,1776854079893277976,1776854079905513438,31293577095991,1776854023138.278,12.235,50.140,-0.044626,0.327943,0.000000,-2.533814,0.000005,-0.000003,0.000000,0.000000,0.000000,0.005584
11,go2_001,56815000000,1776854079955207399,1776854079956076356,31293627658925,1776854023140.207,0.869,50.563,-0.044626,0.327943,0.000000,-2.533813,0.000004,-0.000003,0.000000,0.000000,0.000000,0.004801
12,go2_001,56855000000,1776854079986273753,1776854080005645005,31293677227888,1776854023131.274,19.371,49.569,-0.044626,0.327943,0.000000,-2.534082,0.000004,-0.000003,0.000000,0.000000,0.000000,0.001469
13,go2_001,56895000000,1776854080029662000,1776854080055384714,31293726967639,1776854023134.662,25.723,49.740,-0.044626,0.327943,0.000000,-2.534469,0.000004,-0.000002,0.000000,0.000000,0.000000,-0.001115
14,go2_001,56955000000,1776854080091561218,1776854080105553179,31293777135749,1776854023136.561,13.992,50.168,-0.044626,0.327943,0.000000,-2.534992,0.000003,-0.000002,0.000000,0.000000,0.000000,0.000292
15,go2_001,57015000000,1776854080153431711,1776854080155575056,31293827158274,1776854023138.432,2.143,50.022,-0.044626,0.327943,0.000000,-2.534894,0.000003,-0.000002,0.000000,0.000000,0.000000,0.018881
16,go2_001,57075000000,1776854080194681000,1776854080205743435,31293877326293,1776854023119.681,11.062,50.168,-0.044626,0.327943,0.000000,-2.534997,0.000002,-0.000002,0.000000,0.000000,0.000000,0.001299
17,go2_001,57115000000,1776854080246992770,1776854080255695794,31293927278456,1776854023131.993,8.703,49.952,-0.044626,0.327943,0.000000,-2.534576,0.000002,-0.000001,0.000000,0.000000,0.000000,0.011002
18,go2_001,57155000000,1776854080288292070,1776854080305439182,31293977021799,1776854023133.292,17.147,49.743,-0.044626,0.327943,0.000000,-2.533990,0.000002,-0.000001,0.000000,0.000000,0.000000,0.013458
19,go2_001,57210000000,1776854080340076403,1776854080355406045,31294026988964,1776854023130.076,15.330,49.967,-0.044626,0.327943,0.000000,-2.534098,0.000002,-0.000001,0.000000,0.000000,0.000000,-0.006245
20,go2_001,57255000000,1776854080391717187,1776854080405549317,31294077132250,1776854023136.717,13.832,50.143,-0.044626,0.327943,0.000000,-2.533271,0.000001,-0.000001,0.000000,0.000000,0.000000,0.012089
