seq,robot_id,timestamp_ns,publish_time_ns,publish_dt_ms,x,y,yaw_rad,yaw_deg,v_linear,v_angular
47,go2_001,1438140000000,1776178060516541583,49.964,0.112200,-0.167234,1.040166,59.597106,0.000000,-0.015746
48,go2_001,1438180000000,1776178060566577868,50.036,0.112200,-0.167234,1.040711,59.628322,0.000000,0.002144
49,go2_001,1438240000000,1776178060616547059,49.969,0.112200,-0.167234,1.040729,59.629392,0.000000,-0.002181
50,go2_001,1438300000000,1776178060666455540,49.908,0.112200,-0.167234,1.040647,59.624681,0.000000,-0.016244
51,go2_001,1438340000000,1776178060716577901,50.122,0.112200,-0.167234,1.040506,59.616625,0.000000,-0.014122
52,go2_001,1438380000000,1776178060766594522,50.017,0.112200,-0.167234,1.040342,59.607211,0.000000,-0.008340
53,go2_001,1438440000000,1776178060816560958,49.966,0.112200,-0.167234,1.039991,59.587098,0.000000,-0.018975
54,go2_001,1438480000000,1776178060866558059,49.997,0.112200,-0.167234,1.040864,59.637125,0.000000,0.015366
55,go2_001,1438540000000,1776178060916504284,49.946,0.112200,-0.167234,1.040657,59.625276,0.000000,-0.003628
56,go2_001,1438580000000,1776178060966549900,50.046,0.112200,-0.167234,1.040395,59.610223,0.000000,-0.015342
57,go2_001,1438640000000,1776178061016554432,50.005,0.112200,-0.167234,1.040119,59.594420,0.000000,-0.029410
58,go2_001,1438680000000,1776178061066576656,50.022,0.112200,-0.167234,1.040387,59.609773,0.000000,-0.006964
59,go2_001,1438740000000,1776178061116559686,49.983,0.112200,-0.167234,1.040015,59.588482,0.000000,-0.007381
60,go2_001,1438780000000,1776178061166603775,50.044,0.112200,-0.167234,1.039886,59.581068,0.000000,-0.014202
61,go2_001,1438840000000,1776178061216562378,49.959,0.112200,-0.167234,1.040265,59.602786,0.000000,-0.014031
62,go2_001,1438880000000,1776178061266587139,50.025,0.112200,-0.167234,1.040537,59.618354,0.000000,0.001118
63,go2_001,1438940000000,1776178061316502676,49.916,0.112199,-0.167233,1.040035,59.589593,0.000001,-0.007911
64,go2_001,1439000000000,1776178061366752999,50.250,0.112199,-0.167233,1.040579,59.620775,0.000001,0.018736
