seq,robot_id,source_timestamp_ns,adapter_receive_time_ns,adapter_publish_time_ns,adapter_publish_monotonic_ns,source_to_receive_ms,receive_to_publish_ms,publish_period_ms,x,y,z,yaw_rad,v_linear_x,v_linear_y,v_linear_z,v_angular_x,v_angular_y,v_angular_z
0,go2_001,31160000000,1776933960529337744,1776933960548071759,1264360449988,1776933929369.338,18.734,,-0.058539,0.057616,0.000000,0.042280,0.066452,-0.007290,0.000000,0.000000,0.000000,1.229453
1,go2_001,31220000000,1776933960591304858,1776933960598248549,1264410626343,1776933929371.305,6.944,50.177,-0.044263,0.057964,0.000000,0.093558,0.089418,-0.004331,0.000000,0.000000,0.000000,0.738738
2,go2_001,31260000000,1776933960633231315,1776933960648129414,1264460507272,1776933929373.231,14.898,49.881,-0.044860,0.057556,0.000000,0.110069,0.079961,-0.006109,0.000000,0.000000,0.000000,0.374474
3,go2_001,31320000000,1776933960695990508,1776933960698138626,1264510516578,1776933929375.990,2.148,50.009,-0.045086,0.058206,0.000000,0.128952,0.068426,-0.005303,0.000000,0.000000,0.000000,0.345106
4,go2_001,31355000000,1776933960737289140,1776933960748103049,1264560481706,1776933929382.289,10.814,49.964,-0.045538,0.058536,0.000000,0.143780,0.061588,-0.004819,0.000000,0.000000,0.000000,0.402480
5,go2_001,31395000000,1776933960777985146,1776933960798217143,1264610594680,1776933929382.985,20.232,50.114,-0.039430,0.058485,0.000000,0.156183,0.069685,-0.005619,0.000000,0.000000,0.000000,0.255453
6,go2_001,31455000000,1776933960820171316,1776933960848073292,1264660451041,1776933929365.171,27.902,49.856,-0.025683,0.065264,0.000000,0.157107,0.092248,0.007837,0.000000,0.000000,0.000000,0.077950
7,go2_001,31520000000,1776933960892221212,1776933960898137786,1264710515706,1776933929372.221,5.917,50.064,-0.018470,0.066226,0.000000,0.178077,0.095129,0.006816,0.000000,0.000000,0.000000,0.395716
8,go2_001,31555000000,1776933960933432325,1776933960948064598,1264760442135,1776933929378.432,14.632,49.927,-0.013840,0.066997,0.000000,0.203764,0.098382,0.006494,0.000000,0.000000,0.000000,0.617290
9,go2_001,31615000000,1776933960995599247,1776933960998211022,1264810589529,1776933929380.599,2.612,50.146,-0.014283,0.067463,0.000000,0.253624,0.084654,0.005806,0.000000,0.000000,0.000000,0.870936
10,go2_001,31655000000,1776933961036358778,1776933961048079250,1264860456905,1776933929381.359,11.720,49.868,-0.005975,0.070628,0.000000,0.299123,0.097027,0.008839,0.000000,0.000000,0.000000,1.052320
