seq,robot_id,timestamp_ns,publish_time_ns,publish_dt_ms,x,y,yaw_rad,yaw_deg,v_linear,v_angular
58,go2,309640000000,1776176929727492385,100.064,0.022855,-0.305546,2.434029,139.459609,0.000000,0.020488
59,go2,309740000000,1776176929827415729,99.923,0.022855,-0.305546,2.433219,139.413153,0.000000,-0.022831
60,go2,309840000000,1776176929927602183,100.186,0.022855,-0.305546,2.433427,139.425096,0.000000,0.006126
61,go2,309940000000,1776176930027473548,99.871,0.022855,-0.305546,2.433307,139.418215,0.000000,-0.020943
62,go2,310040000000,1776176930127449002,99.975,0.022855,-0.305546,2.433553,139.432334,0.000000,-0.010244
63,go2,310140000000,1776176930227550115,100.101,0.022855,-0.305546,2.433637,139.437102,0.000000,0.013065
64,go2,310240000000,1776176930327494628,99.945,0.022855,-0.305546,2.433263,139.415677,0.000000,-0.005972
65,go2,310340000000,1776176930427449564,99.955,0.022855,-0.305546,2.434358,139.478463,0.000000,0.013003
66,go2,310440000000,1776176930527437947,99.988,0.022855,-0.305546,2.433781,139.445389,0.000000,-0.008244
67,go2,310535000000,1776176930627425648,99.988,0.022855,-0.305546,2.433440,139.425825,0.000000,0.003430
68,go2,310635000000,1776176930727422919,99.997,0.022855,-0.305546,2.433761,139.444261,0.000000,0.010237
69,go2,310735000000,1776176930827427284,100.004,0.022855,-0.305546,2.433143,139.408823,0.000000,-0.015629
70,go2,310835000000,1776176930927445699,100.018,0.022855,-0.305546,2.434063,139.461537,0.000000,0.007220
71,go2,310935000000,1776176931027448829,100.003,0.022855,-0.305546,2.433705,139.441015,0.000000,-0.003978
72,go2,311035000000,1776176931127445620,99.997,0.022855,-0.305546,2.433913,139.452950,0.000000,0.018102
73,go2,311135000000,1776176931227458705,100.013,0.022855,-0.305546,2.432890,139.394307,0.000000,-0.030762
74,go2,311235000000,1776176931327462158,100.003,0.022855,-0.305546,2.433592,139.434547,0.000000,0.002691
75,go2,311335000000,1776176931427418230,99.956,0.022855,-0.305546,2.433893,139.451822,0.000000,0.000615
76,go2,311435000000,1776176931527421842,100.004,0.022855,-0.305546,2.433938,139.454402,0.000000,0.004713
77,go2,311535000000,1776176931627419868,99.998,0.022855,-0.305546,2.433329,139.419475,0.000000,-0.011578
78,go2,311635000000,1776176931727432733,100.013,0.022855,-0.305546,2.433344,139.420320,0.000000,-0.012573
79,go2,311735000000,1776176931827420137,99.987,0.022855,-0.305546,2.433921,139.453392,0.000000,0.004417
80,go2,311835000000,1776176931927382974,99.963,0.022855,-0.305546,2.434246,139.472017,0.000000,0.022630
81,go2,311955000000,1776176932027437248,100.054,0.022855,-0.305546,2.433577,139.433715,0.000000,-0.000742
82,go2,312035000000,1776176932127444483,100.007,0.022855,-0.305546,2.433480,139.428126,0.000000,-0.004792
83,go2,312135000000,1776176932227385352,99.941,0.022855,-0.305546,2.434046,139.460554,0.000000,0.010082
84,go2,312235000000,1776176932327409727,100.024,0.022855,-0.305546,2.434260,139.472844,0.000000,0.001763
85,go2,312355000000,1776176932427422845,100.013,0.022855,-0.305546,2.433281,139.416725,0.000000,-0.006825
86,go2,312435000000,1776176932527422618,100.000,0.022855,-0.305546,2.433575,139.433557,0.000000,-0.006763
87,go2,312535000000,1776176932627447573,100.025,0.022855,-0.305546,2.433513,139.430053,0.000000,-0.023502
88,go2,312635000000,1776176932727411231,99.964,0.022855,-0.305546,2.434206,139.469709,0.000000,0.008478
89,go2,312755000000,1776176932827424331,100.013,0.022855,-0.305546,2.433653,139.438067,0.000000,-0.017928
90,go2,312835000000,1776176932927462241,100.038,0.022855,-0.305546,2.433330,139.419553,0.000000,-0.007051
91,go2,312935000000,1776176933027419151,99.957,0.022855,-0.305546,2.433419,139.424621,0.000000,-0.013370
